   1 	    35.1109 
   2 	    44.6994 
   3 	    54.0961 
   4 	    63.6574 
   5 	    72.8178 
   6 	    82.1707 
   7 	    91.6323 
   8 	   101.0327 
   9 	   110.3131 
  10 	   119.8727 
  11 	   129.1852 
  12 	   138.5521 
  13 	   147.9026 
  14 	   157.4143 
  15 	   166.7200 
  16 	   176.0760 
  17 	   185.5748 
  18 	   194.5896 
  19 	   204.2285 
  20 	   213.5474 
  21 	   222.9154 
  22 	   232.3172 
  23 	   241.6480 
  24 	   250.7925 
  25 	   260.3436 
  26 	   269.9522 
