   1 	    10.7297 
   2 	    20.0531 
   3 	    29.4940 
   4 	    38.9452 
   5 	    48.3800 
   6 	    57.7787 
   7 	    67.1888 
   8 	    76.5685 
   9 	    85.8982 
  10 	    95.3079 
  11 	   104.7348 
  12 	   114.0969 
  13 	   123.5136 
  14 	   132.9531 
  15 	   142.2635 
  16 	   151.7849 
  17 	   161.1492 
  18 	   170.5854 
  19 	   180.0000 
  20 	   189.3611 
  21 	   198.7948 
  22 	   208.1709 
  23 	   217.6370 
  24 	   227.0130 
  25 	   236.3258 
  26 	   245.7097 
  27 	   255.1854 
